alpha,beta,evac_time_mean_s,evac_time_std_s,peak_density_mean,completion_rate_mean,steps_mean
0.8,1.0,224.2,16.316,142.61,0.381,1200.0
0.8,2.0,192.5,38.705,150.21,0.366,1200.0
0.8,3.0,182.75,39.885,144.99,0.338,1200.0
0.8,4.0,203.4,19.294,145.34,0.334,1200.0
1.0,1.0,201.8,21.311,148.34,0.375,1200.0
1.0,2.0,195.0,28.073,145.55,0.372,1200.0
1.0,3.0,186.7,15.151,144.54,0.322,1200.0
1.0,4.0,201.4,24.088,140.02,0.381,1200.0
1.2,1.0,193.35,40.066,150.12,0.416,1200.0
1.2,2.0,166.3,44.333,144.85,0.344,1200.0
1.2,3.0,216.65,16.074,151.0,0.341,1200.0
1.2,4.0,193.05,43.207,138.81,0.341,1200.0
1.4,1.0,229.2,12.71,144.83,0.475,1200.0
1.4,2.0,225.65,9.366,143.11,0.353,1200.0
1.4,3.0,207.2,34.829,143.36,0.353,1200.0
1.4,4.0,167.95,25.73,147.23,0.319,1200.0
