case,scenario,mean_time,std_time,mean_density,std_density
Academic_Plan,S1_Baseline,182.68,16.44,120.49,3.91
Academic_Plan,S2_HighOcc,191.92,9.48,131.74,4.83
Academic_Plan,S3_Blocked,190.34,6.78,125.66,3.53
Academic_Plan,S4_Routing,38.26,2.21,24.55,2.3
Academic_Plan,S5_Panic,140.14,32.15,104.46,12.85
Hospital_Plan,S1_Baseline,30.12,2.08,8.54,0.99
Hospital_Plan,S2_HighOcc,32.64,2.45,12.92,1.64
Hospital_Plan,S3_Blocked,46.96,3.49,18.37,2.35
Hospital_Plan,S4_Routing,32.52,1.8,8.84,1.35
Hospital_Plan,S5_Panic,45.5,4.66,7.98,0.82
Hotel_Plan,S1_Baseline,138.02,31.96,100.13,15.16
Hotel_Plan,S2_HighOcc,121.02,27.47,80.16,15.75
Hotel_Plan,S3_Blocked,153.24,39.78,110.32,11.44
Hotel_Plan,S4_Routing,144.64,28.53,179.94,6.47
Hotel_Plan,S5_Panic,131.18,37.19,57.07,2.1
Library_Plan,S1_Baseline,52.84,2.97,21.8,2.0
Library_Plan,S2_HighOcc,57.22,4.35,33.99,3.17
Library_Plan,S3_Blocked,59.08,3.79,30.25,1.55
Library_Plan,S4_Routing,58.76,5.23,22.26,1.09
Library_Plan,S5_Panic,70.96,10.73,20.93,2.54
Mall_Plan,S1_Baseline,24.18,2.43,8.31,1.61
Mall_Plan,S2_HighOcc,26.88,1.87,12.15,1.59
Mall_Plan,S3_Blocked,37.4,2.04,13.65,1.43
Mall_Plan,S4_Routing,35.1,1.67,9.3,1.45
Mall_Plan,S5_Panic,42.86,4.63,8.66,1.21
Plan1,S1_Baseline,37.14,2.7,10.85,0.74
Plan1,S2_HighOcc,37.58,0.93,15.98,1.77
Plan1,S3_Blocked,51.26,4.44,18.18,2.15
Plan1,S4_Routing,39.02,5.32,10.92,2.51
Plan1,S5_Panic,46.58,3.88,9.4,1.21
Plan2,S1_Baseline,36.62,3.11,9.3,1.85
Plan2,S2_HighOcc,38.06,2.56,12.45,2.19
Plan2,S3_Blocked,39.52,2.63,12.91,2.92
Plan2,S4_Routing,42.26,3.68,9.7,1.93
Plan2,S5_Panic,44.92,4.29,8.67,1.57
Plan3,S1_Baseline,166.54,24.92,124.42,21.07
Plan3,S2_HighOcc,170.24,14.7,145.21,16.0
Plan3,S3_Blocked,200.0,0.0,241.19,4.31
Plan3,S4_Routing,86.82,27.08,187.85,2.73
Plan3,S5_Panic,114.26,11.65,39.08,4.76
Supermarket_Plan,S1_Baseline,25.7,1.15,11.17,1.56
Supermarket_Plan,S2_HighOcc,27.04,1.75,15.58,1.79
Supermarket_Plan,S3_Blocked,26.3,1.1,11.38,1.09
Supermarket_Plan,S4_Routing,29.14,2.39,9.7,1.54
Supermarket_Plan,S5_Panic,29.96,1.68,8.92,1.19
