case_id,scenario_id,num_agents,routing_policy,blocked_exits,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct,exit_imbalance_index
A,shortest_path,58,shortest_path,,225.38,183.398,147.624,126.74,124,27.42,
A,random_routing,58,stochastic,,186.7,157.8,79.16,95.65,133,25.53,
A,density_aware,58,least_crowded,,196.66,165.436,102.024,110.63,129,30.35,
A,peopleflow_guided,58,guided,,249.5,223.04,166.476,133.78,121,33.12,
B,shortest_path,64,shortest_path,,546.18,267.662,149.588,290.49,113,93.77,
B,random_routing,64,stochastic,,190.96,160.764,78.5,100.89,137,58.43,
B,density_aware,64,least_crowded,,282.6,196.1,124.572,156.31,122,81.55,
B,peopleflow_guided,64,guided,,247.42,215.318,127.768,128.85,169,40.0,
C,shortest_path,70,shortest_path,,335.86,95.604,127.744,297.87,84,92.31,
C,random_routing,70,stochastic,,165.68,108.358,22.824,81.58,113,95.27,
C,density_aware,70,least_crowded,,225.08,77.418,44.736,111.84,76,95.56,
C,peopleflow_guided,70,guided,,483.64,221.134,333.188,297.64,126,88.57,
D,shortest_path,74,shortest_path,,463.98,211.346,207.648,265.46,89,92.81,
D,random_routing,74,stochastic,,251.82,142.268,105.808,134.57,96,84.44,
D,density_aware,74,least_crowded,,292.84,139.13,151.104,161.64,82,87.69,
D,peopleflow_guided,74,guided,,129.18,107.934,104.792,74.11,106,18.65,
E,shortest_path,78,shortest_path,,273.84,163.588,239.388,135.97,63,96.2,
E,random_routing,78,stochastic,,344.38,209.208,165.604,179.58,70,91.18,
E,density_aware,78,least_crowded,,266.62,159.808,172.772,132.31,66,96.2,
E,peopleflow_guided,78,guided,,528.24,328.106,502.716,273.05,74,95.03,
F,shortest_path,84,shortest_path,,98.9,43.75,25.716,47.69,69,95.2,
F,random_routing,84,stochastic,,239.9,132.056,53.16,129.85,109,93.79,
F,density_aware,84,least_crowded,,221.36,83.142,45.76,117.91,87,94.97,
F,peopleflow_guided,84,guided,,237.4,171.57,139.968,122.37,126,75.83,
G,shortest_path,88,shortest_path,,196.46,37.588,120.804,156.31,48,95.02,
G,random_routing,88,stochastic,,76.48,58.982,31.792,40.05,87,71.24,
G,density_aware,88,least_crowded,,127.42,52.924,49.952,80.0,60,93.52,
G,peopleflow_guided,88,guided,,164.02,131.924,111.996,83.33,107,56.02,
H,shortest_path,92,shortest_path,,275.04,86.836,105.628,136.23,70,95.7,
H,random_routing,92,stochastic,,57.9,49.24,26.644,28.94,95,59.68,
H,density_aware,92,least_crowded,,79.86,47.524,32.464,39.99,78,84.35,
H,peopleflow_guided,92,guided,,169.98,135.052,133.752,86.99,115,64.03,
