name,config_hash,seed,num_agents,emergency_type,floor_plan_id,floor_plan_revision,engine_version,generated_at,ablation_social_force,ablation_pathfinding,ablation_behavioral,ablation_hazard,total_time,avg_time,median_time,peak_flow,avg_delay,safety_score,survival_probability,exit_balance,optimal_exit_utilization,validation_overall,validation_status,optimization_score
live-calib-check__calib_000,67b2ffd4ce23bfd4abc10098f9e0036dd7ab56b8bc786895284a45193e4adb71,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:19:39.852319+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.402467991435467,needs_review,
live-calib-check__calib_001,3d1123d69de86c80d2815ea55fa9c937c84b13b854a26faf1a4ea83d2020cb25,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:19:50.432080+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.3109718503322587,needs_review,
live-calib-check__calib_002,c129538c1530d1484818db640f2b47433d92ee87f9c3df4e12a2261e48efd464,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:20:00.416384+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.33805370851192057,needs_review,
live-calib-check__calib_003,e93b336d511de87a01f6880420ffeaee18ab9edf0fb5613bd900e9f74210cea2,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:20:10.882539+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5375258346807547,needs_review,
live-calib-check__calib_004,08a969ffcc497402e7e9fbb6eb2bd07eebb975324b5f1798e0e9e3d7ea9d719e,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:20:21.418206+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5092692526425554,needs_review,
live-calib-check__calib_005,2f8435a397e9dcd9b4dc808943ab01fc3217fdc358f8aa9098da4bff3109dbf3,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:20:31.607235+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.31091248960717577,needs_review,
live-calib-check__calib_006,01cc7eee8d8cf15c207f7575086c2b096a8723ce8eeeca23d1008c39281bc983,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:20:41.897739+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.3818871238658332,needs_review,
live-calib-check__calib_007,32f40fad665f722f98f7b1b57cdb4e9057afceca2dd7fd647e15ba4e24edf7cb,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:20:50.326664+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.34712278079327724,needs_review,
live-calib-check__calib_008,37b96e2fee4cbfb74e92bec22a12aea2cab8f44912ed87fa9161bc2860824ec9,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:21:00.033263+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5092319445421746,needs_review,
live-calib-check__calib_009,a08579bcb93353c7bfbd02f05e0e1ccc4f527b191a8a9f3a5346dc22232790db,42,16,fire,,,peopleflow-sim-v1,2026-04-02T22:21:09.770323+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5845111033253765,needs_review,
manual-experiment-run,ba1182b38ea74f11487a912c7405cc02669eca64547744d989bd4684d7a40bdf,101,12,fire,mock-default-floor-plan,,peopleflow-sim-v1,2026-04-04T16:06:31.529287+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,
test_optuna__opt_000,cc38bd1760ac5fef6ec988d50613e2a36f1129821e03cb0fd571be363c52e1b0,42,10,fire,,,,2026-03-23T19:02:50.737147+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.6076374657468714,,0.5645824794481229
test_optuna__opt_001,b80aec655ddb5c5f354ac83fabb802131193c7669f1173937f4f986298e32147,42,10,fire,,,,2026-03-23T19:02:50.885259+00:00,True,True,True,True,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.3094648859617497,,0.3856789315770498
